block,avg_txs,avg_pow_txs,avg_pos_txs,avg_fpos_txs,avg_pow_difficulty,avg_pos_difficulty,avg_fpos_difficulty
1000,1.008,1.0050150451354063,2.0,0,0.03488186501504513,2.4e-07,0
2000,1.003,1.0,1.0198675496688743,1.0,0.03176526601941748,0.0004645867549668873,7.048e-07
3000,1.0,1.0,1.0,1.0,0.03561121282051284,0.00010998244680851067,3.171875e-07
4000,1.002,1.002967359050445,1.0,1.0,0.045349234510385764,0.00030955333333333333,3.296294117647059e-05
5000,1.003,1.005008347245409,1.0,1.0,0.03576106472454089,0.004169643554216868,0.000763488382978723
6000,1.001,1.0,1.0055248618784531,1.0,0.03244119121913578,0.008487806961325969,0.0014211440935672508
7000,1.0,1.0,1.0,1.0,0.05135786173913045,0.011633865508982027,0.0020733083962264144
8000,1.0,1.0,1.0,1.0,0.0664518913029827,0.01268297327380953,0.0016251243076923084
9000,1.01,1.0108695652173914,1.0193548387096774,1.0,0.06543699535714285,0.01248745219354839,0.0020170674626865666
10000,1.002,1.0032362459546926,1.0,1.0,0.06371033092233008,0.012844028242424239,0.0019198279723502297
11000,1.0,1.0,1.0,1.0,0.06733482187692308,0.014295153275862072,0.001982777897727272
12000,1.0,1.0,1.0,1.0,0.062233976714743656,0.013608603701298702,0.0021312058108108115
13000,1.0,1.0,1.0,1.0,0.056553508564742554,0.01416934576086957,0.0019009655999999997
14000,1.003,1.004823151125402,1.0,1.0,0.05993312660771704,0.013249805389610386,0.0020126410267857155
15000,1.001,1.0,1.0,1.0046082949308757,0.05793838296296296,0.0126947824074074,0.0020300652073732724
16000,1.002,1.0,1.0129870129870129,1.0,0.05014447391373809,0.01306495922077922,0.0019759717727272715
17000,1.015,1.0105421686746987,1.0342857142857143,1.0124223602484472,0.09545185027108431,0.01189582857142857,0.0017122931677018634
18000,1.016,1.0084175084175084,1.023391812865497,1.0297872340425531,0.06572879535353535,0.05742768766081874,0.012533605106382977
19000,1.013,1.0123456790123457,1.0173410404624277,1.011173184357542,0.3009075747839509,0.15916251907514448,0.020640786592178762
20000,1.017,1.0180623973727423,1.0171428571428571,1.0138888888888888,0.25055545088669934,0.30217375868571433,0.04692388731481483
21000,1.016,1.011437908496732,1.04,1.0093896713615023,0.25354588439542497,0.5000198969142855,0.0691952371830986
22000,1.014,1.0158982511923689,1.0166666666666666,1.0052356020942408,0.3056946858187597,0.6233955475000005,0.09205019424083774
23000,1.007,1.0102739726027397,1.0064102564102564,1.0,0.3598170975342469,0.813557744807692,0.13755709919230763
24000,1.019,1.0164473684210527,1.0506329113924051,1.0042735042735043,0.4552280014967103,1.4386346713924054,0.19887182551282048
25000,1.127,1.115873015873016,1.2090395480225988,1.0880829015544042,19.538729913476217,1.5800721666101698,0.2659260765284974
26000,1.169,1.1546052631578947,1.2839506172839505,1.126086956521739,30.191959918190765,2.046102692901234,0.304601978478261
27000,1.192,1.1981981981981982,1.2590673575129534,1.070921985815603,34.825935230690675,1.9261126123316061,0.35277666744680847
28000,1.109,1.0878504672897196,1.2473118279569892,1.0573476702508962,22.035489882280366,2.673792278870967,0.4193653557706092
29000,1.082,1.0580204778156996,1.168421052631579,1.0714285714285714,19.708744661808886,3.035629674736843,0.4538087383482143
30000,1.109,1.1139896373056994,1.1705882352941177,1.0557768924302788,18.82894016620034,3.4008029293529396,0.5995879914342633
31000,1.125,1.0636704119850187,1.3018867924528301,1.1062992125984252,19.020098709119868,3.6530148433018894,0.5501908476771651
32000,1.092,1.048582995951417,1.2926829268292683,1.026578073089701,18.21115273089068,4.783064770634143,0.6648043716611294
33000,1.073,1.0254777070063694,1.1536050156739812,1.0435967302452316,9.870799070477707,5.20769148087774,0.6513891086103543
34000,1.049,1.0238095238095237,1.1176470588235294,1.0171102661596958,10.59447459232143,5.685705642287584,0.6979917303612163
35000,1.051,1.0466786355475763,1.115606936416185,1.0185185185185186,17.223069781292654,7.549715793988438,0.9624653119259263
36000,1.123,1.11284046692607,1.2009345794392523,1.0808823529411764,43.53668440433857,7.527883437149534,1.049226983235294
37000,1.097,1.097872340425532,1.15,1.0517241379310345,17.2352200506383,7.991321984583329,1.2002352759655177
38000,1.022,1.021015761821366,1.0483870967741935,1.0041152263374487,28.179611297898433,8.974103201612904,1.3595246986831282
39000,1.108,1.088235294117647,1.2317073170731707,1.073643410852713,44.18850705544984,8.355296277621955,1.1360994264728677
40000,1.203,1.2019704433497538,1.3109756097560976,1.1277533039647578,122.0105886614122,9.529761542743904,1.4427985791189424
41000,1.199,1.1693037974683544,1.3756613756613756,1.1173184357541899,169.41212891272147,9.237849278571428,1.722962749050279
42000,1.12,1.0934256055363323,1.2402597402597402,1.1082089552238805,59.72862704418683,12.24631092422078,1.376964734589552
43000,1.118,1.1186708860759493,1.1807909604519775,1.057591623036649,86.8568386078322,10.145575718022599,1.4785561489005237
44000,1.135,1.0974264705882353,1.2950819672131149,1.1025641025641026,95.93249121571694,7.983810048360657,1.0989403015018324
45000,1.149,1.0940499040307101,1.443298969072165,1.0491228070175438,75.31687427733212,11.054772772216499,1.4609633216140356
46000,1.212,1.1798679867986799,1.4772727272727273,1.0871559633027523,104.19390306089109,7.338342917954545,1.2348738136697246
47000,1.288,1.2854757929883138,1.4593023255813953,1.165938864628821,100.78483646060097,12.013534476220922,1.4899910729694317
48000,1.202,1.2003205128205128,1.284848484848485,1.1421800947867298,93.08521434966345,10.669995048424248,1.8027577428909962
49000,1.212,1.2138939670932358,1.3517587939698492,1.0984251968503937,40.93533898385738,12.215243761356785,2.0515648535826765
50000,1.221,1.2267343485617597,1.353932584269663,1.103896103896104,19.382198105955986,16.464396207808985,2.02018054926407
51000,1.202,1.2059282371294853,1.2484848484848485,1.1494845360824741,14.339711171154443,14.384503419393944,1.9897149856185559
