block,stake_size,address
256784,35.03514,2TwEnncttTb2bJk6hHi1JGgGeT4u78grSN
257988,15.00001,2D4FMbNFU3AjRgE3W8RsPS1wAJpW25mDn9
262313,25.37018181,2YgrubYzfGVsqy4UuGZzmYwG69XPpQmgWZ
266078,3.0,2UtMZ5DLocTfTi6eLtcPATHpPn5tc1YzGm
274522,1.47029702,2Qwg6K5vo8PhqxcGor1hRmaHoVqTuv77Sh
276131,4.5,2ZysRrYxRGmQhH2cgScqwLoVobB9BTmmvC
281925,4.500003,2QJmgE5tw5XTqZnCpYcLhTqVEDd1k25exE
287506,14.85,2Hr1TGBYwvPhSAmzw8imHdtv3wb2Bd7q3L
287562,4.5,2QJmgE5tw5XTqZnCpYcLhTqVEDd1k25exE
287846,3.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
288400,11.0,2W3RnHhLSvMELbkaVQFMPTtJe5X1QZ3R4k
289876,12.595,2DqPy3y3r8LYaaioFX9DTvoSfsHPzAVEk1
295912,20.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
296171,10.00004,2D4FMbNFU3AjRgE3W8RsPS1wAJpW25mDn9
296174,14.85,2YPxpXasro5fwAKEmHrZYCpeHLNGiAMqzP
296260,1.375,2F9LzpgFhsDaADnBtrxNGG1DVBvcqKX2eW
299742,42.49481138,2L9U1imAqXkdUbSc9De6ao5FdUnvb1pfY1
299801,3.0,2UbAdXbZiphAhqqBP2bnXMv31DMZdm51SL
301636,45.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
306734,8.2508415,2F9nFuaZ8douU9uttdFFk3i4xv5rjjRUzg
307239,49.5,2aheobngvQDEkKSJvHU8ELB4KWrTcaavbz
312426,1.5,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
312764,14.85,2PoxN5D5tFZF297nTWM1xSEduDYZwDTSix
316828,20.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
317315,3.0,2ZysRrYxRGmQhH2cgScqwLoVobB9BTmmvC
317764,3.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
318639,40.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
318700,49.5,2aheobngvQDEkKSJvHU8ELB4KWrTcaavbz
319089,49.5,2aheobngvQDEkKSJvHU8ELB4KWrTcaavbz
324774,2.0,2ZysRrYxRGmQhH2cgScqwLoVobB9BTmmvC
325732,3.000002,2UbAdXbZiphAhqqBP2bnXMv31DMZdm51SL
337289,42.69386828,2L9U1imAqXkdUbSc9De6ao5FdUnvb1pfY1
339234,27.0,2XGPFt3rjkyLfkCEmHjsXZjvT485tMKFWK
339243,14.85,2L36kztB1nJE9nEnbeja9x9H3Bi2Uvrd5s
339412,19.43431744,2GkwEkJQFumTs7fHMQcPPmQTwK9ByrteW4
340153,42.34275,2L9U1imAqXkdUbSc9De6ao5FdUnvb1pfY1
344912,42.25598083,2L9U1imAqXkdUbSc9De6ao5FdUnvb1pfY1
354573,3.003,2TwEnncttTb2bJk6hHi1JGgGeT4u78grSN
356447,14.85,2SSnnoi9izK33b7YK8K512xDpjNqxJHkaV
361020,6.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
361433,3.0,2UtMZ5DLocTfTi6eLtcPATHpPn5tc1YzGm
370448,10.0,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
371512,14.0,2U3qaz4766qCLUuYrW6HZDz1cGftFVN8uK
377490,30.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
380886,3.006009,2TwEnncttTb2bJk6hHi1JGgGeT4u78grSN
382987,3.0,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
384219,10.0,2S3rHYngLmRgGaHiiDecUMaZ5AjHqV1bAC
386718,3.0,2Gbp17xubGBQ8aGWAi4PRryq9f9UvVmkFd
389748,29.65025433,2WZ2DKTwcDY9wLD77xWN6LnhRszKDsAKNE
390217,20.80702141,2SefNQKZSK9EEgEqE2EsR3qXEfvsEXZgZE
396548,30.00004,2Gh3WvPUT41dA7C9RVoLmETi1SKVhengZ1
397299,1.0,2QJmgE5tw5XTqZnCpYcLhTqVEDd1k25exE
398797,3.8539302,2TZ5azBgWqiJQdcMwjAWfAomzpM4WvCANc
399411,14.0,2U3qaz4766qCLUuYrW6HZDz1cGftFVN8uK
399447,10.0,2TwEnncttTb2bJk6hHi1JGgGeT4u78grSN
401004,14.0,2U3qaz4766qCLUuYrW6HZDz1cGftFVN8uK
401067,30.0,2U5tbFsiux2mayJeYe8ciSnycWGHTTWgcj
